text,true_label,pred_label
最 近 产 粮 多 得 要 跟 不 上 他 的 节 奏 了 嘤 嘤 嘤 笑 得 好 甜,4,4
睡 觉 误 事 上 周 才 因 为 睡 过 头 错 过 了 纳 米 材 料 导 论 课 的 第 一 节 课 ， 更 不 幸 的 是 还 赶 上 了 点 名,0,1
纽 科 门 的 蒸 汽 机 将 蒸 汽 引 入 气 缸 后 阀 门 被 关 闭 ， 然 后 冷 水 被 撒 入 汽 缸 ， 蒸 汽 凝 结 时 造 成 真 空 。,3,3
最 爱 豪 豪 ， 跟 他 聊 就 很 安 心 ， 果 真 是 最 重 要 的 几 个 人 在 前 20 年 就 已 经 全 遇 见 了 吗 ？ 那 我 也 很 满 足 了 ， 我 不 贪 心 。 我 不 遗 忘 过 去 ， 我 要 遗 忘 未 来 ， 一 如 苏 铭 的 选 择 。 我 的 过 去 停 留 在 20 岁 以 前 ， 果 然 可 以 一 直 陪 我 到 最 后 的 只 有 那 几 个 ， 都 是 卢 心 怡 级 的 人 啊 晚 上 咖 啡 喝 醉 了 ， 好 好 睡 一 觉,4,4
今 天 ， 生 化 检 查 结 果 出 来 了 竞 会 有 四 项 不 合 格,5,5
今 天 真 的 很 开 心 ， 下 午 去 了 图 书 馆 居 然 碰 到 了 钟 金 伶 ， 之 前 就 约 好 了 和 她 今 晚 去 看 电 影 的 ， 哈 哈 刚 好 又 遇 到 她 ， 就 是 缘 分 ， 今 天 看 了 我 的 少 女 时 代 真 的 很 不 错 的 一 部 电 影 噢 ！ 喜 欢 电 影 有 些 地 方 小 感 动 一 直 喜 欢 青 春 的 电 影 ， 然 而 看 不 到 欧 美 大 片 ， 以 后 我 不 会 去 看 欧 美 大 片 的,4,4
刚 看 完 医 生 就 开 始 进 入 头 痛 无 力 各 种 问 题 状 态 ， 这 是 啥 情 况,2,0
【 醒 后 不 要 剧 烈 运 动 】 许 多 人 ； 晨 起 后 习 惯 进 行 适 当 的 体 育 锻 炼 ， 只 要 注 意 。 对 健 康 的 确 有 益 处 。 但 是 。 运 动 必 须 在 晨 起 后 稍 作 休 息 一 下 、 待 气 血 阴 阳 运 行 平 衡 后 才 可 进 行,3,3
请 叫 我 电 灯 泡 ～ 六 对 情 侣 我 独 自 一 人,1,4
刚 做 了 个 噩 梦 那 个 女 人 又 来 了 她 找 到 了 我 的 这 个 小 号 看 到 了 我 的 头 像 害 怕 着 醒 过 来 了 。 。 。 既 然 梦 里 都 不 敢 反 抗 ， 醒 过 来 就 想 作 一 作 了,2,2
toughlove 那 一 整 场 都 很 经 典 lilyd 在 那 场 实 在 是 美 爆 了 啊 啊 啊 啊 感 觉 lima10 年 就 是 妆 容 奇 怪 其 他 的 都 赞 爆 了 然 后 南 瓜 的 那 身 pink 算 是 好 几 年 之 内 的 最 佳 了,4,4
当 物 业 员 我 们 物 业 还 给 摩 托 ， 还 是 个 女 士 的,5,5
恐 惧 不 是 来 源 于 多 可 怕 的 怪 物 ， 而 是 未 知 。,2,2
那 个 在 nico 上 翻 来 覆 去 没 完 没 了 投 稿 黑 细 谷 的 真 是 够 了 ， 被 删 了 还 投 删 了 还 投 ， 最 关 键 的 是 你 为 什 么 要 带 不 相 关 的 人 的 tag ？ ？ ？,0,0
老 娘 天 天 在 家 玩 游 戏?? ， 关 键 是 比 我 玩 的 还 厉 害 ， 我 也 是 醉 了 ！,5,0
这 名 患 者 叫 小 仓 友 基 ， 服 用 了 药 物 后 神 志 不 清 ， 从 公 寓 的 阳 台 上 掉 下 来 后 ， 奇 迹 般 地 保 住 了 性 命 ， 意 识 也 很 清 醒 。,5,3
参 赛 犬 只 要 求 在 所 有 犬 展 上 ， 犬 只 的 健 康 必 须 被 放 在 头 等 重 要 的 位 置 上 。,3,3
明 天 我 要 开 始 把 mark 每 天 发 神 经 病 的 视 频 也 传 bilibili 让 大 家 开 心 开 心 浮 夸 的 动 作 扭 捏 的 表 情 生 硬 的 口 语 开 始 退 潮 的 发 际 线... 一 去 不 回 的 青 春 折 杀 了 他 多 少 才 华 是 上 天 欠 他 太 多...,4,1
中 国 队 踢 联 合 国 队 ？ 一 个 香 港 队 11 个 人 6 个 规 划 球 员 ， 黑 鬼 真 几 把 会 玩 ， 假 摔 球 脏 ， 看 着 就 不 爽,0,0
我 好 像 找 到 了 一 个 人 that ' sme,3,4
我 现 在 真 的 是 很 生 气 ， 什 么 东 西 都 欺 负 我 们 ， 夹 在 中 间 哪 边 都 不 好 做 人 ， 各 种 改 要 求 ， 各 种 调 整 ， 那 原 则 性 的 东 西 定 起 来 ， 要 个 屁 用 ！ 讲 一 句 话 ， 附 加 一 点 证 明 ， 最 基 本 的 准 则 都 要 打 破 ， 那 之 前 让 我 们 做 这 么 多 无 用 功 干 嘛 ！ 玩 我 们 么 ！ 岁 数 大 了 脾 气 也 上 来 了,0,0
昨 天 真 是 越 想 越 不 对 劲 ， 你 说 我 手 机 苹 果 6 是 七 月 买 的 ， 这 就 充 不 进 电 了 。 昨 天 拿 去 修 ， 他 们 居 然 要 收 我 388 块 钱 。 当 然 保 修 期 还 没 过 。 他 说 这 是 硬 件 不 保 修,0,0
新 歌 倒 计 时 ， ， ， 心 情 不 错 ， ， ， 大 家 好 才 是 真 的 好,4,4
tsm 把 三 星 ssg 虐 爆 了 [ 惊 恐 ] 北 美 邪 教 厉 害 了 ， 我 现 在 很 害 怕 。 瑟 瑟 发 抖 4,2,2
米 都 煮 好 咯 给 劳 资 说 休 不 到 那 么 多 了 ， ， ， 擦 ， ， 劳 资 硬 是 想 打 破 次 元 壁 嘞 来 消 灭 你 啊 ！ ！ ！ ！ ！,0,0
【 singleissimple ！ doubleistrouble. 】 一 个 人 是 孤 单 ， 两 个 人 是 麻 烦 ！,1,1
今 天 真 是 烦 烦 烦 ！ 出 门 没 带 钥 匙 ！ 忘 了 带 作 业 ！ 明 天 还 来 一 不 速 之 客 ！ 我 这 是 招 惹 谁 了 啊 ！,0,0
感 觉 麻 麻 在 变 老 啊 多 愁 善 感 让 人 心 疼,1,1
曾 经 走 过 的 日 子 ， 也 只 是 最 后 被 遗 忘 的 记 忆 的 碎 片,1,1
紧 急 求 助 请 转 发 ： 半 月 前 ， 在 九 江 沃 尔 玛 超 市 的 路 边 上 躺 着 一 个 摔 伤 约 50 余 岁 的 先 生 ， 已 被 民 警 送 到 市 中 医 院 治 疗 。 目 前 一 直 找 不 到 家 属 ， 现 病 人 颅 内 出 血 ， 处 于 病 危 ， 已 经 上 了 呼 吸 机 了 。 现 紧 急 呼 吁 ， 有 谁 认 识 这 个 人 ， 或 能 帮 忙 提 供 线 索 找 到 这 个 病 人 的 家 属 。 请 直 接 打 九 江 庐 山 南 路 派,1,2
才 8 颗 的 椰 子 糖 元 好 句 平 均 5 块 一 颗,5,4
妈 ， 这 一 年 来 咱 俩 都 认 同 的 一 句 话 就 是 ： 死 亡 并 不 可 怕 ， 可 怕 的 是 等 待 死 亡 的 过 程 。 我 知 道 你 一 直 不 害 怕 死 亡 ， 从 你 病 魔 缠 身 的 那 刻 起 你 就 一 直 在 期 待 死 亡 的 到 来 ， 甚 至 想 提 前 结 束 这 一 切 。 可 是 我 们 却 是 自 私 的 ， 我 们 不 能 失 去 你 ， 即 使 知 道 多 活 一 天 对 你 来 说 都 是 炼 狱 煎 熬 我 们 也 不 想 放 弃,1,1
从 此 ， 我 们 之 间 再 无 任 何 瓜 葛 ， 我 不 会 再 出 现 在 你 的 世 界 里 ， 来 打 扰 你 的 生 活 。 我 于 你 关 切 的 问 候 ， 却 原 来 不 过 是 一 场 自 作 多 情 罢 了 。 你 有 你 选 择 的 权 利 ， 我 有 我 与 生 俱 来 的 自 尊 ， 或 许 谁 都 不 该 牵 绊 谁 ， 让 我 们 自 由 自 在 地 活 在 珍 贵 的 人 间 ， 岁 月 静 好 ， 你 我 无 恙 ， 往 后 的 往 后 山 水 不 相 逢 ，,1,1
记 住 一 个 人 很 容 易 忘 记 一 个 人 很 难 ！ 呵 呵,1,1
刚 发 快 递 中 通 小 哥 欣 慰 的 说 终 于 不 都 是 东 三 省 广 东 西 我 说 对 啊 毕 竟 五 湖 四 海 都 有 天 空 树 嘛 他 的 表 情 23333,4,4
那 句 有 我 在 触 动 了 我 的 泪 点 有 多 久 没 有 听 到 过 有 我 在 这 部 电 影 真 的 很 喜 欢,4,4
自 贡 街 头 这 样 一 幕 ， 真 怕 飞 起 来 ！ 网 友 爆 料 称 ， 看 得 我 胆 战 心 惊 ， 摩 托 开 不 稳 ， 拿 石 头 绑 起 还 是 左 右 摇 晃 。 两 根 道 占 斗 别 的 车 根 本 过 不 了 ， 后 面 的 车 不 敢 超 ， 害 怕 把 他 挂 倒 。 蜀 黍 快 调 板 仓 到 两 湖 大 桥 的 监 控 ， 把 这 几 个 要 钱 不 要 命 ， 又 影 响 他 人 正 常 行 车 ， 堵 塞 交 通 的 罚 到 住 详,2,2
嘿 嘿 嘿 后 的 我 在 思 考 人 生 ， 不 要 打 扰 我,4,4
校 门 高 7. 6 米 ， 宽 22. 36 米 。,3,3
d8 : 迎 来 了 在 台 湾 的 第 一 场 地 震 ， 说 大 不 大 说 小 不 小 ， 却 也 震 醒 了 睡 梦 中 的 室 友 。 想 起 第 一 次 经 历 地 震 ， 惊 慌 恐 惧 在 那 一 霎 那 随 着 血 液 涌 向 全 身 ， 也 明 白 了 地 震 跳 楼 逃 生 的 心 情 。 后 与 家 里 报 平 安 ， 父 母 仍 在 周 六 早 晨 的 懒 眠 中 ， 听 罢 也 只 道 没 事 。 或 许 终 有 一 日 我 的 恐 惧 会 得 到 安 慰 ， 但 不,2,2
不 知 是 我 买 多 了 晚 饭 还 是 热 情 攀 谈 的 老 板 特 意 给 多,4,4
又 看 一 遍 那 些 年 大 晚 上 一 点 多 哭 成 了 泪 人,1,1
我 的 小 皮 鞋 难 道 不 是 黑 色 么 一 上 午 像 吸 了 一 盒 烟 一 样 算 是 灰,5,1
汪 苏 泷 到 底 谁 （ 我 首 页 这 几 天 都 是 他,5,5
身 体 一 年 不 如 一 年 了 ， 再 不 改 变 要 废 了,1,1
当 一 个 女 的 说 她 再 也 不 想 理 你 其 实 是 她 真 的 很 在 乎 你 。 所 以 我 说 没 事 就 是 有 事 。 没 关 系 就 是 有 关 系 。,1,5
除 了 负 责 货 币 外 ， 密 情 局 也 负 责 侦 察 侦 察 侦 察 策 划 、 运 作 对 政 府 不 利 活 动 的 人 士 。,3,3
想 起 有 些 事 情 我 就 尼 玛 不 舒 服 ， 很 不 舒 服 ， 不 舒 服 的 很 。,0,1
又 长 一 岁 了 ， 当 初 杀 马 特 了 现 在 不 能 在 浪 费 光 阴 了 温 柔 不 帅 ， 祝 自 己 永 远 开 心 快 乐,4,4
一 次 一 次 的 刻 意 ， 承 载 着 多 少 的 无 法 抗 拒,1,1
累 爆 ！ 一 路 五 十 个 小 时 ， 真 是 要 疯 了 。 终 于 在 自 己 的 床 上 睡 个 安 稳 觉 ， 可 越 睡 越 晕,0,1
阴 茎 囊 可 向 后 延 伸 超 过 或 不 超 过 腹 吸 盘 。,3,3
它 是 世 界 上 第 一 个 数 字 图 书 馆 ， 所 有 书 籍 的 输 入 都 是 由 志 愿 者 来 完 成 的 ， 并 将 这 些 书 籍 文 本 化 。,3,3
这 才 几 点 就 起 来 复 习 ， 看 看 看 ， 才 几 点,0,1
9 月 30 日 晚 6 点 左 右 ， 温 哥 华 花 园 发 生 一 起 恶 性 杀 人 事 件 ， 男 的 杀 死 女 的 之 后 把 肠 子 都 掏 出 来 了 ， 之 后 还 淡 定 抽 烟 等 警 察 。 。 。 我 的 天 ， 听 说 了 之 后 感 觉 好 可 怕 ， 可 怕 在 于 那 个 人 好 淡 定 。 简 直 没 有 那 种 害 怕 和 懊 悔 的 感 觉 ， 这 是 有 多 大 仇 啊 ！ 还 有 就 是 那 凶 手 的 心 理 太 变 态 了 ！ 成 都 · 玉 带 桥,0,2
呀 这 个 姑 娘 是 不 是 黄 奕 啊 ！ 瞬 间 我 就 崩 溃 了 路 人 甲 的 感 觉 这 个 打 扮 low 爆 啦,5,5
你 是 我 在 最 无 助 最 害 怕 的 时 候 第 一 个 想 到 的 人 当 我 一 个 人 孤 独 恐 惧 的 时 候 我 脑 海 浮 现 n 次 你 的 电 话 号 码 但 我 实 在 没 有 勇 气 拨 过 去 更 找 不 到 一 个 给 你 打 电 话 的 理 由 但 是 你 不 一 样 当 你 告 诉 我 你 有 事 的 时 候 我 会 不 假 思 索 的 跑 到 你 身 边 因 为 我 已 经 尝 过 无 助 的 滋 味 不 想 让 你 也 体 会 一 回 虽 然 你 可 能 根,1,1
总 人 口 4300 人. 2006 年 村 民 人 均 收 入 4500 元 。,3,3
这 样 下 去 ， 腰 估 计 得 完 完 ， 我 是 不 是 腰 肌 劳 损 了 呀 只 要 不 让 我 坐 着 ， 干 什 么 都 行 ， 最 幸 福 的 就 是 能 这 样 躺 着 发 呆 。,2,1
失 眠 觉 得 明 天 哦 不 已 经 是 今 天 了 超 级 可 怕 [ 惊 恐 ],2,2
美 丽 的 一 天 ， 心 情 好 到 笑 到 难 看 的 牙 都 露 出 来 了,4,4
宋 朝 咸 平 二 年 ( 己 亥 ， 公 元 999 年 ) 复 名 松 阳 县 。,3,3
店 里 突 然 进 来 了 一 个 杵 着 双 拐 杖 的 乞 丐 ， 但 行 走 看 起 来 并 没 有 什 么 障 碍 ， 当 时 看 到 他 在 店 里 的 客 人 乞 讨 ， 出 于 本 能 反 应 ， 去 阻 止 他 并 且 让 他 出 去 讨 ， 不 要 在 店 子 打 扰 到 别 人 ， 话 刚 说 完 ， 立 马 给 我 甩 了 一 个 眼 神 ， 现 在 回 想 起 来 还 是 好 恐 怖 ！ 就 好 像.. 好 像 是 一 把 枪 光 了 他 今 生 今 世 讨 的 钱 ，,2,2
我 这 不 像 洗 头 ， 怎 么 感 觉 像 是 在 杀 猪 啊,5,5
郁 闷 了 ， 充 电 器 落 在 车 里 了.... 要 充 电 才 想 起 来..... 给 我 动 力 早 睡 了,1,1
我 已 经 很 久 很 久 很 久 很 久 没 有 出 去 吃 过 大 餐 了 连 人 均 50 以 上 的 我 都 已 经 快 三 个 月 没 有 吃 过 了 好 想 烤 肉 啊 火 锅 啊,1,1
每 次 看 到 那 种 新 闻 和 底 下 刷 三 观 的 评 论 就 觉 得 我 们 的 国 家 和 人 民 是 多 么 落 后 真 的 很 失 望,1,1
一 天 到 晚 嘴 都 闲 不 住 我 奇 怪 的 是 竟 然 会 有 对 吃 不 在 乎 的 人,5,5
我 要 练 字 ， 我 要 买 乖 致 滴 一 笔 笺 ， 只 是 不 知 道 什 么 时 候,3,1
当 我 说 美 术 设 计 的 时 候 ， 有 人 会 说 哦 就 是 平 面 广 告 嘛 。 如 果 不 较 真 的 说 ， 视 觉 设 计 、 平 面 设 计 、 美 术 设 计 并 没 什 么 本 质 上 的 区 别 ， 只 不 过 美 术 的 范 围 更 广 ， 对 前 两 者 是 包 含 的 关 系 。 我 只 是 想 说 ， 平 面 设 计 是 一 个 很 知 性 的 东 西 ， 可 以 不 懂 但 是 不 要 不 尊 重 ， 它 和 野 广 告 一 体 化 ， 同 时 也 分,3,3
等 了 会 台 ， 终 于 吃 上 了 ， 味 道 凑 合 ， 尤 其 是 饭 材 料 太 差 ， 都 不 成 形,0,4
这 机 场?? 这 么 冷 清 也 就 属 它 了 吧 ， 整 个 大 厅 除 了 我 就 是 他 ， 有 没 有 点 恐 怖 还 好 陆 续 又 来 了 几 个 接 机 的 人 ， 不 然 我 要 吓 跑 了,2,2
身 边 朋 友 都 让 我 离 开 他 ， 说 他 是 渣 男 ， 但 是 我 就 是 会 忍 不 住 的 去 想 他 啊 ， 怎 么 办,1,1
刚 才 进 电 梯 一 个 老 娘 们 儿 把 我 吓 坏 了 大 半 夜 出 来 吓 人 哼 要 不 是 看 着 你 块 儿 大 非 跟 你 喊 两 声 忍 了 [ 左 哼 哼 ],2,2
第 一 个 丧 尸 出 来 之 后 陈 先 生 看 着 我 说 恐 怖 片 哦 我 点 点 头 继 续 咯 ？ ！ 有 点 怕 但 是 想 看 下 去 怪 东 西 ！ 看 到 胖 子 准 爸 爸 这 段 哭 的 稀 里 哗 啦 ！ 看 到 那 个 大 反 派 我 义 愤 填 膺 釜 山 行 ， 想 到 一 些 人 事 物 ， 不 容 细 思 。 感 觉 今 晚 又 要 做 噩 梦 了 ！,2,2
作 业 ， 我 恨 你 ！ 麻 痹 美 女 成 员 把 图 片 资 料 给 我 们 看 ， 我 们 都 就 想 到 哪 个 作 业 有 错 就 改 或 补 做 ！ 美 女 成 员 不 应 该 给 我 们 看 醉 了 ！,1,0
一 肚 子 的 火 不 知 道 往 哪 发 。 给 妈 妈 打 电 话 ， 中 午 打 个 在 打 牌 ， 下 午 打 个 在 打 牌 ， 我 真 的 烦 死 了 。 我 这 里 就 像 旅 馆 一 样 。 家 里 一 下 这 个 来 ， 一 下 那 个 要 来 。 还 不 能 甩 脸 色 。 我 还 要 有 强 迫 症 ， 不 喜 欢 别 人 睡 我 的 床 。 好 想 吐 槽 吐 槽 。,0,0
练 车 练 的 好 差 阿 ， 越 练 越 差 ， 越 练 越 差 ， 练 的 都 灰 心 了,0,1
第 二 十 一 条 房 屋 权 利 证 书 实 行 验 证 制 度 ， 具 体 验 证 办 法 由 省 人 民 政 府 建 设 行 政 主 管 部 门 规 定 。,3,3
就 广 州 而 言 ， 冬 天 不 下 雨 还 好 ， 一 下 雨 那 就 是 入 骨 的 冷 啊,2,1
回 家 路 上 啃 了 一 片 面 包 ， 吃 了 个 炸 鸡 ， 几 块 鸡 块 ， 一 杯 橙 汁 ， 三 包 花 生 ， 两 包 零 嘴 ， 然 后 现 在 又 吃 了 碗 菌 菇 蛋 花 面 对 自 己 太 好 了,1,4
少 喝 鸡 汤 ， 多 做 实 事 。 早 睡 ， 晚 安 。,4,4
大 下 雨 天 的 还 得 看 这 个 教 练 臭 脸 ， 闷 在 车 里 浑 身 不 自 在,0,0
我 都 穷 成 这 样 ， 你 tm 还 偷 我 手 机 ， 你 tm 还 偷 我 手 机 ， 你 tm 还 偷 我 手 机 。 我 祝 你 下 次 再 做 这 种 事 的 时 候 被 抓 到 ， 长 点 心 吧 ， 好 好 做 人 吧,0,0
项 目 中 休 闲 设 施 包 括 游 泳 池 和 活 动 区 。,3,3
大 半 夜 的 ， 手 机 充 电 器 爆 炸 了 ， 吓 死 我 了 ， 三 星 充 电 器 也 爆 炸 ， 我 插 排 就 在 床 头 ， 得 亏 没 有 嘣 到 我 ， 三 星 充 电 器 大 半 夜 爆 炸 ， 我 只 在 新 闻 看 过 三 星 手 机 爆 炸 ， 没 有 想 到 我 ， 这 事 发 生 在 我 身 上 ， 太 吓 人 了 ， 这 多 坑 人 啊 ， 这 是 没 有 嘣 到 ， 要 是 嘣 到 我 咋 整 啊 ， 大 半 夜 家 里 电 闸 都 跳 了 ， 得 亏 我 家,2,2
有 个 无 聊 的 小 哥 突 发 奇 想 ， 将 泡 面 泡 软 后 一 根 一 根 捞 出 来 量 了 一 下 苗 条 的 长 度 ， 结 果 发 现 ， 一 碗 泡 面 的 面 条 长 度 竟 然 有 60 米 左 右,5,5
晚 上 得 空 算 了 下 这 些 年 工 作 所 挣 的 工 资 出 来 十 年 了 挣 的 薪 水 不 到 三 十 万 刚 出 来 时 给 家 里 了 三 万 多 自 己 租 房 用 了 两 万 多 剩 下 的 吗 尼 不 知 去 了 哪 儿 酒 店 这 个 低 薪 行 业 又 苦 又 累 还 不 如 做 工 厂 妹 赚 的 多 呦,1,1
看 来 男 朋 友 不 是 没 用 的 ， 男 朋 友 是 用 来 陪 刷 夜 ， 及 避 免 刷 夜 的 ， 帮 打 水 和 陪 打 水 的 ， 陪 外 出 和 接 送 的 ， 及 陪 去 医 院,4,0
女 生 真 的 不 好 当 啊 ， 感 觉 腰 已 经 撑 不 起 上 半 身 了 ， 可 是 没 时 间 卧 床 啊,1,1
回 到 家 才 发 现 又 忘 了 打 卡 ！ 是 又 又 又 ！ ！ ！ 告 诉 我 怎 么 才 能 不 忘 记 下 班 打 卡 这 回 事 ！ ！ ！ wtf ！,0,0
它 们 的 食 物 尽 是 一 些 身 手 敏 捷 的 动 物 ， 如 鱼 和 海 豹 等 。,3,3
不 小 心 倒 了 点 荧 光 剂 下 去 ， 感 觉 瞬 间 开 启 了 异 次 元 的 通 道 。 。 。,5,4
原 来 我 也 有 少 女 时 代! 大 扫 除 找 出 来 我 也 不 知 道 叫 什 么 暂 且 叫 她 发 带 的 东 西 我 拿 出 来 装 了 下 嫩 日 照 今 天 初 雪 有 种 过 年 的 感 受 兴 奋 的 不 行,4,4
更 为 可 怕 的 在 这 ： 1. 沙 特 伊 教 徒 人 口 占 100 % ， 2. 汉 志 省 除 吉 达 外 的 所 有 城 市 非 伊 教 徒 都 不 得 进 入 和 生 存 ， 其 中 的 居 民 亦 无 退 教 自 由 。 3. 宗 教 教 法 代 替 国 法 [ 思 考 ] 沙 特 是 一 种 公 开 的 恐 怖,2,5
自 带 晕 车 属 性 的 我 每 次 长 途 跋 涉 回 来 就 要 睡 一 觉 补 补 元 气 ， 伤 不 起,0,1
【 我 国 18 岁 以 下 低 龄 赴 美 留 学 生 10 年 增 加 480 倍,3,5
三 个 月 没 来 亲 戚 ， 十 三 号 来 亲 戚 了 十 六 号 去 检 查 有 多 卵 巢 综 合 征 ， 看 到 检 查 眼 泪 就 出 来 了 ， 一 个 人 淋 着 雨 打 电 话 给 表 妹 个 妈 妈 ， 电 话 那 头 我 听 到 了 妈 妈 的 哭 声 ， 三 月 份 和 老 公 在 一 起 ， 妈 妈 每 个 月 都 问 怀 了 没 有 ， 每 次 我 都 很 心 寒 告 诉 她 没 有 我 该 怎 么 办 今 天 开 始 吃 达 英 三 个 月 ， 戒 辣 戒 酒 戒 夜,1,1
临 睡 前 被 老 妈 唠 叨 收 拾 了 供 菩 萨 的 香 碗 。 从 去 年 年 底 开 始 我 家 的 香 碗 从 中 间 就 插 不 进 去 了 香 。 我 也 没 在 意 。 （ 知 道 我 有 多 懒 了 吧 ） 。 刚 才 倒 香 灰 突 然 发 现 我 家 的 香 碗 里 竟 然 插 着 两 枚 硬 币 [ 惊 恐 ] [ 惊 恐 ] [ 惊 恐 ] [ 惊 恐 ] [ 惊 恐 ] [ 惊 恐 ] 吓 死 本 宝 宝 [ 惊 恐 ] [ 惊 恐 ] [ 惊 恐 ] [ 惊 恐 ],2,2
一 分 钱 买 的 ， 虽 然 知 道 它 很 小 ， 但 没 想 到 竟 然 这 么 小,5,5
回 想 过 去 ， 我 们 几 乎 很 少 有 机 会 面 对 面 的 聊 天,1,1
做 了 一 个 非 常 非 常 非 常 非 常 非 常 美 的 美 梦,4,4
啊 哈 哈 哈 又 黑 我 月 半 木 娄 人 家 只 是 胖 着 玩 玩,4,0
太 可 怕 了 ！ 恐 怖 车 祸 ： 狭 窄 山 路 两 车 相 遇 轿 车 瞬 间 被 砸 扁 小 轿 车 内 两 人 死 亡 、 一 人 受 伤 。 开 车 朋 友 的 一 定 要 看 看 ， 远 离 大 货 车 ， 随 手 转 。 秒 拍 视 频,2,2
今 天 去 针 灸 （ 颈 椎 不 好 ） ， 最 后 起 针 后 感 觉 脖 子 那 里 还 有 点 别 扭 ， 我 就 摸 了 一 下 ， 竟 然 还 有 一 根 针,2,5
兴 起 刷 个 朋 友 圈 ， 竟 然 看 到 我 初 中 同 学 发 的 我 高 中 同 学 的 结 婚 照 ， 我 脑 子 里 的 唯 一 想 法 ， 就 是 震 惊 ， 她 竟 然 结 婚 了 ， 竟 然 结 婚 了 ， 吓 死 宝 宝 了,5,2
原 名 龙 溪 ， 全 长 25 华 里 ， 发 源 于 鼓 山 ， 因 水 源 丰 富 ， 清 道 光 年 间 全 盛 时 沿 溪 处 处 磨 坊 ， 故 名 磨 溪 。,3,3
老 爸 是 一 轮 接 一 轮 的 惊 喜 吖 ， 继 泡 沫 之 后 又 在 播 放 解 解 的 喜 欢 你 与 再 见 ， 比 我 还 时 髦 ， 老 爸 你 是 走 在 时 尚 的 前 沿 吗 ？,4,4
一 到 考 试 周 就 心 娇 娇 ， 孤 独 感 怀 旧 感 倍 涌 而 至 ， 肿 么 破,1,1
所 有 的 事 情 都 会 随 着 时 间 推 移 浮 出 水 面 ， 真 相 越 残 酷 ， 死 得 越 彻 底,3,2
（ 九 ） 承 办 区 委 、 区 政 府 和 上 级 国 有 资 产 监 督 管 理 部 门 交 办 的 其 他 事 项 。,3,3
26 、 2011 年 7 月 ， 康 宝 无 线 物 联 家 居 系 统 通 过 部 级 鉴 定 。,3,3
青 城 山 青 正 街 64 号 依 山 酒 家 太 恐 怖 了 我 们 把 车 停 在 很 远 的 地 方 老 板 居 然 冲 出 来 骂 人 丝 毫 没 有 素 质 说 占 用 了 他 们 的 位 置 公 共 停 车 区 域 说 是 他 们 家 的 差 点 就 动 手 打 人 了 没 有 素 质 的 人 真 的 太 可 怕 老 板 追 着 骂 人 什 么 世 道 | 都 江 堰 市,2,2
天 啊 难 道 我 是 异 端 吗 ， 为 什 么 我 喜 欢 画 衣 服 不 喜 欢 画 身 体 啊 魂 淡 ！,5,5
莫 名 其 妙 的 电 脑 就 中 病 毒 了 ， 麻 蛋,0,2
