text,true_label,pred_label,llm_response,k_shot,protocol
自贡街头这样一幕，真怕“飞”起来！网友爆料称，“看得我胆战心惊，摩托开不稳，拿石头绑起还是左右摇晃。两根道占斗别的车根本过不了，后面的车不敢超，害怕把他挂倒。蜀黍快调板仓到两湖大桥的监控，把这几个要钱不要命，又影响他人正常行车，堵塞交通的罚到住……”详戳...全文,2,2,2,5,balanced-held-out-test
嘿嘿嘿后的我在思考人生，不要打扰我,4,4,4,5,balanced-held-out-test
校门高7.6米，宽22.36米。,3,3,3,5,balanced-held-out-test
D8:迎来了在台湾的第一场地震，说大不大说小不小，却也震醒了睡梦中的室友。想起第一次经历地震，惊慌恐惧在那一霎那随着血液涌向全身，也明白了地震跳楼逃生的心情。后与家里报平安，父母仍在周六早晨的懒眠中，听罢也只道没事。或许终有一日我的恐惧会得到安慰，但不是今日。台湾·台北,2,2,2,5,balanced-held-out-test
不知是我买多了晚饭还是热情攀谈的老板特意给多,4,3,3,5,balanced-held-out-test
又看一遍那些年大晚上一点多哭成了泪人,1,0,0,5,balanced-held-out-test
我的小皮鞋难道不是黑色么…一上午像吸了一盒烟一样算是灰,5,2,2,5,balanced-held-out-test
汪苏泷到底谁……（我首页这几天都是他,5,3,3,5,balanced-held-out-test
身体一年不如一年了，再不改变要废了,1,2,2,5,balanced-held-out-test
当一个女的说她再也不想理你其实是她真的很在乎你。所以我说没事就是有事。没关系就是有关系。,1,4,4,5,balanced-held-out-test
除了负责货币外，密情局也负责侦察“侦察侦察策划、运作对政府不利活动的人士。,3,3,3,5,balanced-held-out-test
想起有些事情我就尼玛不舒服，很不舒服，不舒服的很。,0,0,0,5,balanced-held-out-test
又长一岁了，当初杀马特了现在不能在浪费光阴了温柔不帅，祝自己永远开心快乐,4,4,4,5,balanced-held-out-test
一次一次的刻意，承载着多少的无法抗拒…,1,4,4,5,balanced-held-out-test
累爆！一路五十个小时，真是要疯了。终于在自己的床上睡个安稳觉，可越睡越晕,0,0,0,5,balanced-held-out-test
阴茎囊可向后延伸超过或不超过腹吸盘。,3,3,3,5,balanced-held-out-test
它是世界上第一个数字图书馆，所有书籍的输入都是由志愿者来完成的，并将这些书籍文本化。,3,3,3,5,balanced-held-out-test
这才几点就起来复习，看看看，才几点,0,3,3,5,balanced-held-out-test
9月30日晚6点左右，温哥华花园发生一起恶性杀人事件，男的杀死女的之后把肠子都掏出来了，之后还淡定抽烟等警察。。。我的天，听说了之后感觉好可怕，可怕在于那个人好淡定。简直没有那种害怕和懊悔的感觉，这是有多大仇啊！还有就是那凶手的心理太变态了！成都·玉带桥,0,2,2,5,balanced-held-out-test
呀这个姑娘是不是黄奕啊！瞬间我就崩溃了路人甲的感觉这个打扮low爆啦,5,0,0,5,balanced-held-out-test
你是我在最无助最害怕的时候第一个想到的人当我一个人孤独恐惧的时候我脑海浮现N次你的电话号码但我实在没有勇气拨过去更找不到一个给你打电话的理由但是你不一样当你告诉我你有事的时候我会不假思索的跑到你身边因为我已经尝过无助的滋味不想让你也体会一回虽然你可能根本不需要我其实...全文,1,2,2,5,balanced-held-out-test
总人口4300人.2006年村民人均收入4500元。,3,3,3,5,balanced-held-out-test
这样下去，腰估计得完完，我是不是腰肌劳损了呀只要不让我坐着，干什么都行，最幸福的就是能这样躺着发呆。,2,2,2,5,balanced-held-out-test
失眠…觉得明天哦不已经是今天了超级可怕[惊恐],2,0,0,5,balanced-held-out-test
美丽的一天，心情好到笑到难看的牙都露出来了,4,4,4,5,balanced-held-out-test
宋朝咸平二年(己亥，公元999年)复名松阳县。,3,3,3,5,balanced-held-out-test
店里突然进来了一个杵着双拐杖的乞丐，但行走看起来并没有什么障碍，当时看到他在店里的客人乞讨，出于本能反应，去阻止他并且让他出去讨，不要在店子打扰到别人，话刚说完，立马给我甩了一个眼神，现在回想起来还是好恐怖！就好像..好像是一把枪光了他今生今世讨的钱，好吓人！心情不美丽[心碎],2,2,2,5,balanced-held-out-test
我这不像洗头，怎么感觉像是在杀猪啊,5,2,2,5,balanced-held-out-test
郁闷了，充电器落在车里了....要充电才想起来.....给我动力早睡了,1,0,0,5,balanced-held-out-test
我已经很久很久很久很久没有出去吃过大餐了连人均50以上的我都已经快三个月没有吃过了好想烤肉啊火锅啊,1,4,4,5,balanced-held-out-test
每次看到那种新闻和底下刷三观的评论就觉得我们的国家和人民是多么落后…真的很失望,1,0,0,5,balanced-held-out-test
一天到晚嘴都闲不住……我奇怪的是竟然会有对吃不在乎的人,5,3,3,5,balanced-held-out-test
我要练字，我要买乖致滴一笔笺，只是不知道什么时候,3,3,3,5,balanced-held-out-test
当我说美术设计的时候，有人会说哦就是平面广告嘛。如果不较真的说，视觉设计、平面设计、美术设计并没什么本质上的区别，只不过美术的范围更广，对前两者是包含的关系。我只是想说，平面设计是一个很“知性”的东西，可以不懂但是不要不尊重，它和野广告一体化，同时也分离化！,3,3,3,5,balanced-held-out-test
等了会台，终于吃上了，味道凑合，尤其是饭材料太差，都不成形,0,3,3,5,balanced-held-out-test
这机场??这么冷清也就属它了吧，整个大厅除了我就是他，有没有点恐怖还好陆续又来了几个接机的人，不然我要吓跑了,2,2,2,5,balanced-held-out-test
身边朋友都让我离开他，说他是渣男，但是我就是会忍不住的去想他啊，怎么办,1,0,0,5,balanced-held-out-test
刚才进电梯一个老娘们儿把我吓坏了大半夜出来吓人哼要不是看着你块儿大非跟你喊两声忍了…[左哼哼],2,0,0,5,balanced-held-out-test
第一个丧尸出来之后陈先生看着我说“恐怖片哦”我点点头“继续咯…？！”“有点怕…但是想看下去”“怪东西！”看到胖子准爸爸这段哭的稀里哗啦！看到那个大反派我义愤填膺釜山行，想到一些人事物，不容细思。感觉今晚又要做噩梦了！,2,2,2,5,balanced-held-out-test
作业，我恨你！麻痹美女成员把图片资料给我们看，我们都就想到哪个作业有错就改或补做！美女成员不应该给我们看醉了！,1,0,0,5,balanced-held-out-test
一肚子的火不知道往哪发。给妈妈打电话，中午打个在打牌，下午打个在打牌，我真的烦死了。我这里就像旅馆一样。家里一下这个来，一下那个要来。还不能甩脸色。我还要有强迫症，不喜欢别人睡我的床。好想吐槽吐槽。,0,0,0,5,balanced-held-out-test
练车练的好差阿，越练越差，越练越差，练的都灰心了,0,0,0,5,balanced-held-out-test
第二十一条房屋权利证书实行验证制度，具体验证办法由省人民政府建设行政主管部门规定。,3,3,3,5,balanced-held-out-test
就广州而言，冬天不下雨还好，一下雨那就是入骨的冷啊,2,2,2,5,balanced-held-out-test
回家路上啃了一片面包，吃了个炸鸡，几块鸡块，一杯橙汁，三包花生，两包零嘴，然后现在又吃了碗菌菇蛋花面……对自己太好了………,1,4,4,5,balanced-held-out-test
少喝鸡汤，多做实事。早睡，晚安。,4,3,3,5,balanced-held-out-test
大下雨天的还得看这个教练臭脸，闷在车里浑身不自在,0,2,2,5,balanced-held-out-test
我都穷成这样，你TM还偷我手机，你TM还偷我手机，你TM还偷我手机。我祝你下次再做这种事的时候被抓到，长点心吧，好好做人吧,0,0,0,5,balanced-held-out-test
项目中休闲设施包括游泳池和活动区。,3,3,3,5,balanced-held-out-test
大半夜的，手机充电器爆炸了，吓死我了，三星充电器也爆炸，我插排就在床头，得亏没有嘣到我，三星充电器大半夜爆炸，我只在新闻看过三星手机爆炸，没有想到我，这事发生在我身上，太吓人了，这多坑人啊，这是没有嘣到，要是嘣到我咋整啊，大半夜家里电闸都跳了，得亏我家电闸安的好。三星太坑人了！,2,2,2,5,balanced-held-out-test
有个无聊的小哥突发奇想，将泡面泡软后一根一根捞出来量了一下苗条的长度，结果发现，一碗泡面的面条长度竟然有60米左右,5,4,4,5,balanced-held-out-test
晚上得空算了下这些年工作所挣的工资出来十年了挣的薪水不到三十万刚出来时给家里了三万多自己租房用了两万多剩下的吗尼不知去了哪儿酒店这个低薪行业又苦又累还不如做工厂妹赚的多呦,1,0,0,5,balanced-held-out-test
看来男朋友不是没用的，男朋友是用来陪刷夜，及避免刷夜的，帮打水和陪打水的，陪外出和接送的，及陪去医院,4,4,4,5,balanced-held-out-test
女生真的不好当啊，感觉腰已经撑不起上半身了，可是没时间卧床啊,1,1,1,5,balanced-held-out-test
回到家才发现又忘了打卡！是又又又！！！告诉我怎么才能不忘记下班打卡这回事！！！WTF！,0,0,0,5,balanced-held-out-test
它们的食物尽是一些身手敏捷的动物，如鱼和海豹等。,3,3,3,5,balanced-held-out-test
不小心倒了点荧光剂下去，感觉瞬间开启了异次元的通道。。。,5,2,2,5,balanced-held-out-test
原来我也有少女时代!大扫除找出来我也不知道叫什么暂且叫她发带的东西我拿出来装了下嫩日照今天初雪️有种过年的感受兴奋的不行,4,4,4,5,balanced-held-out-test
更为可怕的在这：1.沙特伊教徒人口占100%，2.汉志省除吉达外的所有城市非伊教徒都不得进入和生存，其中的居民亦无退教自由。3.宗教教法代替国法[思考]沙特是一种公开的恐怖,2,0,0,5,balanced-held-out-test
自带晕车属性的我每次长途跋涉回来就要睡一觉补补元气，伤不起,0,2,2,5,balanced-held-out-test
【我国18岁以下低龄赴美留学生10年增加480倍,3,3,3,5,balanced-held-out-test
三个月没来亲戚，十三号来亲戚了十六号去检查有多卵巢综合征，看到检查眼泪就出来了，一个人淋着雨打电话给表妹个妈妈，电话那头我听到了妈妈的哭声，三月份和老公在一起，妈妈每个月都问怀了没有，每次我都很心寒告诉她没有我该怎么办今天开始吃达英三个月，戒辣戒酒戒夜生活减肥，好心塞啊,1,0,0,5,balanced-held-out-test
临睡前被老妈唠叨收拾了供菩萨的香碗。从去年年底开始我家的香碗从中间就插不进去了香。我也没在意。（知道我有多懒了吧）。刚才倒香灰突然发现我家的香碗里竟然插着两枚硬币[惊恐][惊恐][惊恐][惊恐][惊恐][惊恐]吓死本宝宝[惊恐][惊恐][惊恐][惊恐]不知道是谁插进去的[惊恐][惊恐][惊恐][惊恐][惊恐][惊恐][惊恐],2,5,5,5,balanced-held-out-test
一分钱买的，虽然知道它很小，但没想到竟然这么小,5,3,3,5,balanced-held-out-test
回想过去，我们几乎很少有机会面对面的聊天,1,3,3,5,balanced-held-out-test
做了一个非常非常非常非常非常美的美梦,4,4,4,5,balanced-held-out-test
啊哈哈哈又黑我月半木娄人家只是胖着玩玩,4,4,4,5,balanced-held-out-test
太可怕了！恐怖车祸：狭窄山路两车相遇轿车瞬间被砸扁……小轿车内两人死亡、一人受伤。开车朋友的一定要看看，远离大货车，随手转。秒拍视频,2,2,2,5,balanced-held-out-test
今天去针灸（颈椎不好），最后起针后感觉脖子那里还有点别扭，我就摸了一下，竟然还有一根针,2,2,2,5,balanced-held-out-test
兴起刷个朋友圈，竟然看到我初中同学发的我高中同学的结婚照，我脑子里的唯一想法，就是震惊，她竟然结婚了，竟然结婚了，吓死宝宝了,5,5,5,5,balanced-held-out-test
原名龙溪，全长25华里，发源于鼓山，因水源丰富，清道光年间全盛时沿溪处处磨坊，故名“磨溪。,3,3,3,5,balanced-held-out-test
老爸是一轮接一轮的惊喜吖，继泡沫之后又在播放解解的喜欢你与再见，比我还时髦，老爸你是走在时尚的前沿吗？,4,4,4,5,balanced-held-out-test
一到考试周就心娇娇，孤独感怀旧感倍涌而至，肿么破,1,1,1,5,balanced-held-out-test
所有的事情都会随着时间推移浮出水面，真相越残酷，死得越彻底,3,2,2,5,balanced-held-out-test
（九）承办区委、区政府和上级国有资产监督管理部门交办的其他事项。,3,3,3,5,balanced-held-out-test
26、2011年7月，康宝无线物联家居系统通过部级鉴定。,3,3,3,5,balanced-held-out-test
青城山青正街64号依山酒家太恐怖了我们把车停在很远的地方老板居然冲出来骂人丝毫没有素质说占用了他们的位置公共停车区域说是他们家的差点就动手打人了没有素质的人真的太可怕老板追着骂人什么世道|都江堰市,2,0,0,5,balanced-held-out-test
天啊难道我是异端吗，为什么我喜欢画衣服不喜欢画身体啊魂淡！,5,0,0,5,balanced-held-out-test
莫名其妙的电脑就中病毒了，麻蛋,0,0,0,5,balanced-held-out-test
晚自习，两个同学交头接耳，数次之后，老师忍无可忍，喝道：说什么呢？非要在上课的时候说？！学生战战兢兢地答道：再商量怎么给祖国母亲庆生。,2,3,3,5,balanced-held-out-test
成语输肝沥胆发音shūgānlìdǎn解释比喻对人极为忠诚。,3,3,3,5,balanced-held-out-test
前几天说什么来着，就怕梦里的坏事成真，果不其然为什么最近感应这么强？是要出马了吗自挂东南枝,5,0,0,5,balanced-held-out-test
13年那个短片超恐怖[哆啦A梦害怕],2,2,2,5,balanced-held-out-test
我想我真的有密集恐惧症了咋就这么多人呢我真的害怕和焦灼汽车没票得去坐火车结果只能站着去另一个地方转转过后还得再转今晚能到家么其实我家很近的回趟家不容易阿火车上人挤人味道也难闻算了算了我还是忍忍算了??在此立誓：长假期绝对不出门！！！！|芜湖·两站...,2,2,2,5,balanced-held-out-test
协调交警大队、交通事务所、城管办、各工作站的十几个部门的工作，与同时也与城建办、市交委等各部门联系，做好相关工作。,3,3,3,5,balanced-held-out-test
智齿是怎么拔的？看完后简直吓尿了！知道牙医有多不容易了吧？,2,2,2,5,balanced-held-out-test
做了一个很血腥的梦，现在满脑子的肢解，农药，杀人魔。我天，我都日有所思些什么了,5,2,2,5,balanced-held-out-test
产前128斤，产后5天111.4斤。天哪，生完就瘦了17斤，恢复好快,5,4,4,5,balanced-held-out-test
该村目前正在发展花红特色产业，计划大力发展优质水果产业。,3,3,3,5,balanced-held-out-test
陈坤河（1907－1934），福建省龙岩县（今龙岩市新罗区）白沙乡郭畲村人。,3,3,3,5,balanced-held-out-test
推杆两端由靠近摇臂的调整螺钉处的回油孔供油润滑。,3,3,3,5,balanced-held-out-test
我觉得我又犯选择困难症了！老是这样，那现在最终决定一下，以后这个号就发日常，萌cp看小说之类的就用那个号，各司其职，互不影响，OK？,0,3,3,5,balanced-held-out-test
永远不知道意外和明天哪个先来，且行且珍…………后怕[惊恐][惊恐][惊恐]余姚市,2,2,2,5,balanced-held-out-test
还有一个月宝宝就要出生了。这几天总是会刷微博，无意看到顺产或者剖腹产的过程，感觉会超级无敌痛和恐怖！啊啊啊[悲伤][悲伤][悲伤]有点害怕了,2,0,0,5,balanced-held-out-test
突然站在阳台看着窗外，感觉大学生活一天天在减少，怎么说呢。不管怎样，好好珍惜吧！,3,1,1,5,balanced-held-out-test
这天，人类突然回想起追篮球动画时的恐怖（x）篮球的时候至少还有原作可循，花丸这个未知数实在可怕…,2,2,2,5,balanced-held-out-test
早上起来想大喊一声IamtheKingoftheworld!!!!,4,4,4,5,balanced-held-out-test
最近得知一个消息，为什么我们会多交200元的住宿费，那是因为我们住在阳面，那多出来的200元是用来买阳光的！,5,3,3,5,balanced-held-out-test
去年十一图书馆关门，我和小主聪哥背着小书包去教学楼，各个教室转找人少的，小主走到E时我继续转B，然后可怕的事情发生了，Bx01orx04我在后门里看到一个穿毛衣的男生在拿着书走动，然而我推门推不开，去叫小主来了说根本没人这教室开不开，我吓坏了，从前门看从窗帘看怎么看怎么没人__记恐怖的一天,2,2,2,5,balanced-held-out-test
有时候亲眼看着比随意想象恐怖太多，越是让自己不去想、不去说，反而越像一根刺，扎在你心上。最可怕的是，当事人已经不会再追问，不会再思前想后，继续用惯用手段让此刻过去，然后回到原状，好似刚刚只是发生了一个小意外。有些事情，变了就是变了，再遮挡、再刻意忽视，心里的难受谁都骗不了自己,1,2,2,5,balanced-held-out-test
最讨厌随地拉屎的人了小孩也讨厌尼玛,0,0,0,5,balanced-held-out-test
哈哈哈我从小学到至今都是朝なかなか起きられない一点长进没有,1,0,0,5,balanced-held-out-test
突然想找yoga的几首歌来听下，然后伴随着歌声入眠，我是真的好久没怎么听国语歌了，但是突然发现酷狗上面的好多歌都不见了,5,3,3,5,balanced-held-out-test
以后这样的事真的不要来找我了0经验者还得安慰安慰前辈们，最不会做的事就是安慰了,2,0,0,5,balanced-held-out-test
"hello,大家好，我叫初五，我系一直红加白加菲猫。因为我主人系初五生日噶我系今年8月21号出世，下面系美丽动人温柔可爱大方第一日抱我翻离噶时候。",4,4,4,5,balanced-held-out-test
3分布中国分布云南西畴县（25918，25919）。,3,3,3,5,balanced-held-out-test
下雪了，大学生们居然在打伞。。一点都没有感受冬天到来的气息，没有亲近大自然。,5,3,3,5,balanced-held-out-test
比无序更可怕的是僵化的有序，前者意味着对自由的寻求，呈现出生命的绚烂；后者是理性的凝固和板结，消失了蓬勃的声色。历史就是从无序到有序、再从有序到无序的运动，没有目的但人在其中茁壮成长。没有必要恐惧历史的运动，因为这不过是历史深沉的呼吸。把握住自由与美，人类就不会栽入生命的谷底。,4,3,3,5,balanced-held-out-test
停下来喝杯红茶，吃小点！轻松一下，放送心情，希望明天的考试顺利通过！,4,4,4,5,balanced-held-out-test
压力大就狂吃，心情不好也狂吃，胃疼,1,0,0,5,balanced-held-out-test
一年后，谢家麟被斯坦福大学微波与高能物理实验室派往芝加哥，研制当时世界上能量最高的医用加速器。,3,3,3,5,balanced-held-out-test
码了好多字写了又删删了又写，自己还没办法好好组织语言吧……只是难过。又觉得写的心情要是放上来，会招黑的吧……,1,1,1,5,balanced-held-out-test
偶滴小天地，天天happy～happy,4,4,4,5,balanced-held-out-test
唐、宋时，以州（府）、县科举考试（乡贡、乡举）中试者称乡贡士。,3,3,3,5,balanced-held-out-test
广东五洲药业有限公司食母生片袋内发现像蟑螂一样的虫子！这药品是在厕所生产的吗！,0,0,0,5,balanced-held-out-test
来来来!你告诉我这怎么背!怎么背!全书都这样!你让我怎么背!重要的事情说三遍!怎么背!怎么背!怎么背!,0,0,0,5,balanced-held-out-test
每天都有烦不完的事。要不要活了啊,0,0,0,5,balanced-held-out-test
打开手机发现上司给我发了条消息吓得我差点惨叫出声，点开一看是国庆祝福……[大哭][大哭][大哭][大哭]吓死我了啊啊啊啊啊啊啊,2,0,0,5,balanced-held-out-test
是不是因为不是亲生的就这样？一直以来，我都渴望被爱。总以为爱的前提就是只是单纯的爱，但我好像错了，大错特错！因为血缘的关系，我们有着一条永远无法跨越的鸿沟。我一直体验不了那种感觉，直到我自己的女儿出生了，我才真正明白了，血缘是一种奇妙的东西！,5,1,1,5,balanced-held-out-test
我竟然有国外的客户，我只想说拍这么便宜的宝贝,5,4,4,5,balanced-held-out-test
今天是你第一次看黄色的银杏树，妈妈带你去了白岩寺。,3,3,3,5,balanced-held-out-test
不要期待，不要假想，不要强求，顺其自然，如果注定，便一定会发生。心安，因为我知道，我永远等不了他，是我太过于追求,1,3,3,5,balanced-held-out-test
我不知道你是否忘记我了我不知道你有没有偶尔想起我我也曾幻想过我们的明天啊我不敢去喜欢别人因为我怕有一天你会来找我,1,1,1,5,balanced-held-out-test
小伙伴们，今天主页菌接受11月19号（周四！周四！周四！）的点歌喔~,4,3,3,5,balanced-held-out-test
今天入了小蜜缇俩件套超级润拯救常年嘴唇拔干星人就是味道不怎么好像开塞露和凡士林的结合体还要你吃进去除了这个真的是完美,4,4,4,5,balanced-held-out-test
证监会两个副部级干部落马，只是开始,0,2,2,5,balanced-held-out-test
半夜睡不着，早上起不来，黑色星期二又来了…,1,0,0,5,balanced-held-out-test
美丽的妹子总是在我身边真好！长得真好看！！,4,4,4,5,balanced-held-out-test
不间断刷到毛子新闻感觉下一秒世界大战就要打起来了啊啊啊,2,0,0,5,balanced-held-out-test
什么玩意儿阿差一点儿就过了都没了,0,0,0,5,balanced-held-out-test
如果把西游记倒过来写，好像也没有什么不对啊…这TMD绝对又是一部神作！,5,4,4,5,balanced-held-out-test
分享图片闲得无聊的我，百度了一下，结果有点惊恐,2,2,2,5,balanced-held-out-test
我最爱最爱的大天使生日快乐，以后也要一直温柔下去啊,4,4,4,5,balanced-held-out-test
深深觉得自己性格好包子啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊特么的我也想撕逼撕！逼！,0,0,0,5,balanced-held-out-test
也是醉我这种几乎都是僵尸粉的微博还有人盗我号,5,5,5,5,balanced-held-out-test
刚才禾康一员工来寄快递，问我没上学啊？我说我毕业了，看我很年轻吗？他问我几岁，我说22，他说他比我大5岁。我说你看上去也很年轻啊！然后他说你这个年纪就应该泡妞…不能呆这儿…额…额…额…走之前又强调了一遍……,5,3,3,5,balanced-held-out-test
刚才看见一辆车与出租车追尾，一群出租车司机聚拢过来围住那辆车的的司机。把我吓出了一身汗，看来千万不要与出租车亲密接触啊。,2,2,2,5,balanced-held-out-test
